Phytochemical Name,Plant Source,Plant Part,SMILES,IMPPAT ID,Knapsack ID,PubChem ID
(+)-Bornyl acetate,Abies alba,,CC(=O)OC1CC2CCC1(C)C2(C)C,,C00000842,6950274.0
4-Hydroxycinnamic acid,Abrus precatorius,seed,OC(=O)/C=C/c1ccc(cc1)O,IMPHY011974,,637542.0
ABRUQUINONE-A,Abrus precatorius,Root,COC1=C(C=C2C(=C1)CC(CO2)C3=CC(=O)C(=C(C3=O)OC)OC)OC,,,172847.0
ABRUQUINONE-B,Abrus precatorius,Root,COC1=C(C(=C2C(=C1)CC(CO2)C3=CC(=O)C(=C(C3=O)OC)OC)OC)OC,,,3009614.0
Abrectorin,Abrus precatorius,seed,COc1ccc(cc1O)c1cc(=O)c2c(o1)cc(c(c2)OC)O,IMPHY004718,C00003872,44257585.0
Abrine,Abrus precatorius,seed,CN[C@H](C(=O)O)Cc1c[nH]c2c1cccc2,IMPHY008695,,160511.0
Abruquinone A,Abrus precatorius,,COC1=C(OC)C(=O)C(C2COc3cc(OC)c(OC)cc3C2)=CC1=O,,C00009745,172847.0
Abruquinone B,Abrus precatorius,,COC1=C(OC)C(=O)C(C2COc3c(cc(OC)c(OC)c3OC)C2)=CC1=O,,C00009747,3009614.0
Borneol acetate,Abies alba,,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,,C00029844,93009.0
Bornyl acetate,Abies alba,leaf,CC(=O)OC1CC2C(C1(C)CC2)(C)C,IMPHY014847,,93009.0
HYPAPHORINE,Abrus precatorius,Seed,C[N+](C)(C)C(CC1=CNC2=CC=CC=C21)C(=O)[O-],,,442106.0
Hypaphorine,Abrus precatorius,seed,[O-]C(=O)[C@@H]([N+](C)(C)C)Cc1c[nH]c2c1cccc2,IMPHY000994,C00001740,442106.0
L-Abrine,Abrus precatorius,,CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,,C00001331,160511.0
L-BORNYL-ACETATE,Abies alba,Leaf,CC(=O)OC1CC2CCC1(C2(C)C)C,,,93009.0
TYROSINE,Abrus precatorius,Seed,C1=CC(=CC=C1CC(C(=O)O)N)O,,,6057.0
