herb,molecule,target
Abies alba,(+)-Bornyl acetate,ACHE
Abies alba,(+)-Bornyl acetate,CPB2
Abies alba,(+)-Bornyl acetate,Solute carrier organic anion transporter family member 1B1
Abies alba,(+)-Bornyl acetate,Solute carrier organic anion transporter family member 1B3
Abies alba,(+)-Bornyl acetate,TAS2R31
Abies alba,(+)-Bornyl acetate,TRPM2
Abies alba,Borneol acetate,ACHE
Abies alba,Borneol acetate,CPB2
Abies alba,Borneol acetate,Solute carrier organic anion transporter family member 1B1
Abies alba,Borneol acetate,Solute carrier organic anion transporter family member 1B3
Abies alba,Borneol acetate,TAS2R31
Abies alba,Borneol acetate,TRPM2
Abies alba,Bornyl acetate,ACHE
Abies alba,Bornyl acetate,CPB2
Abies alba,Bornyl acetate,Solute carrier organic anion transporter family member 1B1
Abies alba,Bornyl acetate,Solute carrier organic anion transporter family member 1B3
Abies alba,Bornyl acetate,TAS2R31
Abies alba,Bornyl acetate,TRPM2
Abies alba,L-BORNYL-ACETATE,ACHE
Abies alba,L-BORNYL-ACETATE,CPB2
Abies alba,L-BORNYL-ACETATE,Solute carrier organic anion transporter family member 1B1
Abies alba,L-BORNYL-ACETATE,Solute carrier organic anion transporter family member 1B3
Abies alba,L-BORNYL-ACETATE,TAS2R31
Abies alba,L-BORNYL-ACETATE,TRPM2
Abrus precatorius,4-Hydroxycinnamic acid,ABAT
Abrus precatorius,4-Hydroxycinnamic acid,ABCG2
Abrus precatorius,4-Hydroxycinnamic acid,AKR1B1
Abrus precatorius,4-Hydroxycinnamic acid,AKR1B10
Abrus precatorius,4-Hydroxycinnamic acid,AKR1C3
Abrus precatorius,4-Hydroxycinnamic acid,AKR1C4
Abrus precatorius,4-Hydroxycinnamic acid,ALDH5A1
Abrus precatorius,4-Hydroxycinnamic acid,ALOX5
Abrus precatorius,4-Hydroxycinnamic acid,APP
Abrus precatorius,4-Hydroxycinnamic acid,Aldose reductase
Abrus precatorius,4-Hydroxycinnamic acid,BACE1
Abrus precatorius,4-Hydroxycinnamic acid,CA1
Abrus precatorius,4-Hydroxycinnamic acid,CA12
Abrus precatorius,4-Hydroxycinnamic acid,CA13
Abrus precatorius,4-Hydroxycinnamic acid,CA14
Abrus precatorius,4-Hydroxycinnamic acid,CA2
Abrus precatorius,4-Hydroxycinnamic acid,CA3
