"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","71/346","370/9522",0.191891891891892,5.28090923293235,16.3091567014529,9.9024810327321e-33,2.92123190465597e-30,1.37592368033751e-30,"9170/5732/5733/5734/152/3062/134/135/4985/155/680/719/728/886/887/1813/1814/1815/1909/1910/2357/2358/2554/2560/2561/2566/2693/2925/3350/3351/3352/3354/3356/3357/3358/3360/84634/4157/4159/4160/4161/4543/4544/4829/10316/2908/4923/4988/6751/6752/6753/6754/6755/6869/6865/1144/2890/2891/2892/2893/2897/2898/2899/2901/2914/2916/2918/5540/4986/7067/7068",71
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","45/346","199/9522",0.226130653266332,6.22316786243355,14.4589018303211,7.3114387200482e-24,1.07843721120711e-21,5.07952584761243e-22,"43/2782/54331/152/134/135/4985/111/1813/1814/1815/2554/2560/2561/2566/3350/3351/3352/3354/3356/3357/3358/3360/4159/4160/4988/5582/6571/6869/6865/2890/2891/2892/2893/2897/2898/2899/2901/2914/2916/2918/4986/6505/6506/6507",45
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","19/346","46/9522",0.41304347826087,11.3670520231214,13.6859294600273,4.61901628283962e-16,4.54203267812563e-14,2.13933385731519e-14,"5693/5696/5698/5682/5683/5684/5685/5686/5687/5688/143471/5689/5699/122706/5690/5691/5692/5694/5695",19
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","37/346","226/9522",0.163716814159292,4.50552457926237,10.3564713509819,6.90504012720763e-15,5.09246709381562e-13,2.39859288629318e-13,"2033/2353/338442/3725/4790/5732/5733/387/134/135/801/1385/111/207/208/10000/817/1080/1813/1909/2693/3350/3351/3352/3354/3360/5599/5601/5465/6751/6752/6755/2890/2891/2892/2893/4878",37
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","12/346","17/9522",0.705882352941177,19.4260455627338,14.764990447981,2.30893708933799e-14,1.36227288270942e-12,6.41641464826558e-13,"759/771/377677/23632/760/761/762/763/11238/765/766/768",12
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","26/346","133/9522",0.195488721804511,5.37989482376461,9.8771684890676,1.2777800607499e-12,6.28241863202034e-11,2.95906961436819e-11,"2353/2782/54331/4128/4129/2932/801/1385/111/207/208/10000/817/1813/1814/1815/2931/5599/5601/5582/6571/2890/2891/2892/2893/7054",26
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","24/346","115/9522",0.208695652173913,5.74335260115607,9.9371395137151,2.18107922708388e-12,9.19169102842493e-11,4.32936027030184e-11,"240/351/2782/54331/4128/4129/247/239/246/111/2560/2561/3350/3351/3352/3354/3356/3357/3358/3360/5582/6571/7166/121278",24
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","26/346","144/9522",0.180555555555556,4.96893063583815,9.31863433512951,8.66824520510142e-12,3.19641541938115e-10,1.50553732509656e-10,"2081/3752/207/208/10000/5599/5601/5582/5693/2890/2891/2892/5682/5683/5684/5685/5686/5687/5688/143471/5689/5690/5691/5692/5694/5695",26
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","32/346","219/9522",0.146118721461187,4.02122099928735,8.78305639084985,1.2178307173444e-11,3.99177846240663e-10,1.8801597039703e-10,"2099/2100/2782/54331/387/152/3062/4985/111/155/886/887/1813/1814/1815/2693/4157/4159/4160/4161/4988/5593/6751/6752/6753/6754/6755/4842/4878/4986/7067/7068",32
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","31/346","216/9522",0.143518518518519,3.94966281310212,8.51471966499559,4.16313097981282e-11,1.22812363904478e-09,5.78456094037149e-10,"2353/3303/3329/3725/4312/4318/4780/4790/387/7132/2932/3383/6401/7412/801/1543/2081/207/208/10000/817/842/5599/5601/4314/5468/834/3576/3553/23643/4846",31
