"target","degree","degree_norm","ENTREZID"
"AKT3",5,-1,"10000"
"AKT1",4,-1,"207"
"GSK3B",4,-1,"2932"
"SGK2",4,-1,"10110"
"SYK",4,-1,"6850"
"EGFR",3,-1,"1956"
"AKT2",2,-1,"208"
"CASP9",2,-1,"842"
"CDK2",2,-1,"1017"
"CDK4",2,-1,"1019"
"JAK3",2,-1,"3718"
"NFKB1",2,-1,"4790"
"NTRK1",2,-1,"4914"
"PDGFRB",2,-1,"5159"
"PRKAA1",2,-1,"5562"
"CREB1",1,-1,"1385"
"GNB1",1,-1,"2782"
"GNG2",1,-1,"54331"
"IL2",1,-1,"3558"
"KIT",1,-1,"3815"
"LPAR2",1,-1,"9170"
"NOS3",1,-1,"4846"
"PGF",1,-1,"5228"
"VEGFA",1,-1,"7422"
